活动类别,持续时间,开始时间,结束时间,备注
观影+打游戏,0:39,2023/6/23 14:48,2023/6/23 15:28,海妖的呼唤
课程+作业,0:38,2023/6/23 14:06,2023/6/23 14:45,心测大作业
课程+作业,1:17,2023/6/23 9:38,2023/6/23 10:55,心测大作业
观影+打游戏,0:53,2023/6/23 8:40,2023/6/23 9:34,GS系列通用
阅读,0:09,2023/6/22 22:43,2023/6/22 22:53,outlive
观影+打游戏,0:28,2023/6/22 19:51,2023/6/22 20:19,玉子市场
课程+作业,1:26,2023/6/22 18:19,2023/6/22 19:45,心测大作业
课程+作业,0:54,2023/6/22 17:22,2023/6/22 18:17,心测大作业
课程+作业,0:39,2023/6/22 15:46,2023/6/22 16:26,心测大作业
课程+作业,0:12,2023/6/22 15:29,2023/6/22 15:41,心测大作业
psy自由探索,0:06,2023/6/22 15:17,2023/6/22 15:23,保研相关
psy自由探索,0:10,2023/6/22 15:03,2023/6/22 15:13,保研相关
语言,0:37,2023/6/22 14:16,2023/6/22 14:53,日语 乐
课程+作业,0:00,2023/6/22 12:24,2023/6/22 12:24,毕设！
阅读,0:12,2023/6/22 12:18,2023/6/22 12:30,outlive
psy自由探索,0:11,2023/6/22 11:12,2023/6/22 11:23,保研相关
课程+作业,0:24,2023/6/22 10:33,2023/6/22 10:58,毕设！
课程+作业,0:16,2023/6/22 10:13,2023/6/22 10:29,毕设！
课程+作业,0:07,2023/6/22 10:04,2023/6/22 10:11,毕设！
课程+作业,0:14,2023/6/21 22:53,2023/6/21 23:07,毕设！
课程+作业,0:15,2023/6/21 22:28,2023/6/21 22:43,毕设！
阅读,0:16,2023/6/21 21:04,2023/6/21 21:20,outlive
课程+作业,0:20,2023/6/21 20:08,2023/6/21 20:28,毕设！
观影+打游戏,0:50,2023/6/21 19:11,2023/6/21 20:02,海妖的呼唤
观影+打游戏,1:03,2023/6/21 17:51,2023/6/21 18:55,GS3！太TM香了忍不住
课程+作业,0:36,2023/6/21 16:03,2023/6/21 16:39,毕设！
观影+打游戏,0:49,2023/6/21 15:09,2023/6/21 15:58,海妖的呼唤
数物计,0:14,2023/6/21 14:36,2023/6/21 14:50,基础物理
数物计,0:16,2023/6/21 14:17,2023/6/21 14:33,基础物理
课程+作业,0:05,2023/6/21 11:30,2023/6/21 11:35,心测大作业
课程+作业,0:24,2023/6/21 10:59,2023/6/21 11:23,心测大作业
课程+作业,0:10,2023/6/21 10:30,2023/6/21 10:41,毕设！
