程序名称	程序开始时间	程序结束时间	用户名称
msedge.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Cursor.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
reminder_v1.1.1.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
svchost.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Notepad.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedge.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedgewebview2.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
conhost.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
RuntimeBroker.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
WeChatAppEx.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedgewebview2.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedge.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
WeChatPlayer.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Cursor.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedgewebview2.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
conhost.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
msedgewebview2.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
TextInputHost.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Cursor.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
SystemSettings.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
ApplicationFrameHost.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
WeChatAppEx.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Cursor.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
Cursor.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
RtkAudUService64.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
WeChatAppEx.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
idle.exe	2023-07-22 17:53:49	2023-07-22 17:53:49	TANGJIA-LAP\qiluo
